osm_id,name,type,x,y
104353615,Abart,nightclub,8.5223905,47.3618168
246781227,Salzhaus,nightclub,8.7223324,47.4975025
252549089,Pasadena,nightclub,8.6801448,47.3814611
253409050,TapTab,nightclub,8.6372073,47.6946036
253409309,Kammgarn,nightclub,8.636658,47.6945516
253461327,Garden Club,nightclub,8.7232985,47.4979754
266864554,P1,nightclub,8.6055835,47.4010482
267345247,Rohstofflager,nightclub,8.5122855,47.390312
267345290,Moods (im Schiffbau),nightclub,8.5183451,47.3889988
267345397,Hive,nightclub,8.5205734,47.3849426
267345652,Labor Bar,nightclub,8.5189441,47.3884382
268141759,Oxa,nightclub,8.5546535,47.4124434
269423292,Stop Shop,nightclub,8.7174715,47.3467888
270688190,Adagio,nightclub,8.5373129,47.3660385
270688395,Le Bal Zurich,nightclub,8.5374502,47.3655327
283245535,Helsinki,nightclub,8.5184938,47.3858875
283687067,Club Q,nightclub,8.5112126,47.3918983
283688256,Lotus.Club&Lounge,nightclub,8.5130064,47.3900505
291987618,Chicago-Bar,nightclub,8.5300159,47.382661
294906629,Supermarket,nightclub,8.5199443,47.3855039
294909729,Indochine,nightclub,8.5246736,47.3890545
300384722,Mascotte,nightclub,8.5468193,47.3663509
300612944,Mehrspur Music Club,nightclub,8.5464159,47.3688448
300744285,Kaufleuten,nightclub,8.5364895,47.37182
301223565,Kanzlei,nightclub,8.5265555,47.375496
305586627,Besame Mucho,nightclub,8.5188411,47.3878687
338639750,Bazillus,nightclub,8.5373445,47.3813755
365892147,Werk 21,nightclub,8.5394061,47.3832248
366889107,Night Bird,nightclub,8.7160557,47.3489954
370841890,ZicZac,nightclub,8.5436943,47.3719237
415887933,Bolero,nightclub,8.7223414,47.4982416
423795766,Dynamo,nightclub,8.5393867,47.3833064
432809553,Escher Wyss,nightclub,8.5212561,47.3899382
433923964,Stahlwerk,nightclub,8.5212385,47.3158247
